名称,价格,月销量,评价数,店铺所在地,适合肤质,产地,补水保湿,美白提亮,控油祛痘,清洁毛孔,提拉紧致
春纪,242,533,62486,河南,任何肤质,中国,1,1,0,0,0
春纪,175,5739,87436,河南,任何肤质,中国,1,1,1,1,0
春纪,139,381,13122,河南,任何肤质,中国,1,1,0,1,0
春纪,129.9,25397,191197,河南,任何肤质,中国,1,1,0,0,1
春纪,127,4,4,河南,任何肤质,中国,1,1,1,1,1
春纪,124,187,1197,河南,任何肤质,中国,1,1,1,1,0
春纪,98,15,6,河南,任何肤质,中国,1,1,0,1,1
春纪,35.35,33,35,河南,任何肤质,中国,1,0,1,1,0
春纪,129,308,522,湖南,任何肤质,中国,1,1,1,1,1
春纪,816,7,13,江苏,油性及混合性肤质,中国,1,1,1,0,0
春纪,90.5,123,696,浙江,任何肤质,中国,1,0,0,0,0
纯即,361.5,1099,2379,广东,中性及干性肤质,中国,1,0,0,0,0
纯即,29.8,76,1888,广东,任何肤质,中国,1,1,1,1,1
瓷肌,280,2,52,广东,任何肤质,中国,1,0,0,0,0
瓷肌,275,290,3675,广东,任何肤质,中国,1,1,0,1,0
瓷肌,184,1650,16259,广东,任何肤质,中国,1,1,0,0,0
瓷肌,55,122,4286,广东,任何肤质,中国,1,0,0,0,0
慈丹,109,4,212,湖北,任何肤质,中国,1,0,0,0,0
大宝,393.5,1465,304,江苏,任何肤质,中国,1,1,0,0,0
大宝,495,142,316,上海,干性肤质,中国,1,0,0,0,0
大宝,269,98,337,上海,任何肤质,中国,1,1,0,1,1
大宝,239,15,192,上海,任何肤质,中国,1,0,0,0,0
大宝,166,14,182,上海,中性及干性肤质,中国,1,0,0,0,1
大长今,189,619,12002,上海,任何肤质,中国,1,1,0,0,0
黛妃,168,597,10023,上海,任何肤质,中国,1,1,1,0,1
丹姿,202,123,84,安徽,任何肤质,中国,1,1,1,1,0
丹姿,224,4758,7019,上海,任何肤质,中国,1,1,0,0,0
丹姿,148.5,3875,1174,上海,任何肤质,日本,1,0,0,0,0
丹姿,88,136,3038,上海,任何肤质,中国,1,0,0,0,0
丹姿,463,729,12316,浙江,任何肤质,中国,1,1,1,1,1
第一元素,191.5,1214,14900,上海,任何肤质,中国,1,0,0,0,0
丁家宜,172,18893,19556,广东,油性及混合性肤质,中国,1,0,0,0,0
丁家宜,149,563,4607,江苏,任何肤质,中国,1,1,1,1,1
东方婵妆,113,42,1167,广东,任何肤质,中国,1,0,1,1,0
东洋之花,78,2773,110,上海,任何肤质,中国,1,0,1,0,1
朵而,399,1245,6165,北京,任何肤质,中国,1,0,0,0,1
朵而,99,762,23204,北京,任何肤质,中国,1,1,0,0,0
蒽菲,258,100,2075,广东,任何肤质,中国,1,0,1,1,1
法兰朵,151,1877,9141,河南,任何肤质,中国,1,0,1,1,0
法兰琳卡,348,4,103,安徽,任何肤质,中国,0,1,0,0,0
法兰琳卡,113.5,356,4030,安徽,任何肤质,中国,1,0,1,0,0
法兰琳卡,90,97,1625,安徽,混合型肤质,中国,1,1,0,0,0
法兰琳卡,288,144,1556,湖北,任何肤质,中国,1,1,0,1,1
法兰琳卡,119,3451,31418,湖北,中性及干性肤质,中国,1,1,1,1,1
法兰琳卡,379,97,1481,江苏,任何肤质,中国,1,1,0,1,0
法兰琳卡,299,191,1355,江苏,任何肤质,中国,1,0,0,1,1
法兰琳卡,209,3350,13071,江苏,干性肤质,中国,1,1,0,0,0
法兰琳卡,184,2171,4130,江苏,任何肤质,中国,1,1,1,1,1
法兰琳卡,154,674,1217,江苏,任何肤质,中国,1,1,1,1,1
法兰琳卡,149,8,45,江苏,任何肤质,中国,1,0,1,1,0
法兰琳卡,114,99,2126,江苏,任何肤质,中国,1,0,0,0,0
法兰琳卡,106,1856,24664,江苏,任何肤质,中国,1,1,0,1,0
法兰琳卡,99,72,216,江苏,中性及干性肤质,中国,1,1,0,0,0
法兰琳卡,207.5,38,72,上海,任何肤质,中国,1,0,1,0,0
法兰琳卡,173.5,25903,13725,上海,任何肤质,日本,1,0,0,0,0
法兰琳卡,149,172,724,上海,任何肤质,中国,1,0,1,1,1
凡茜,94,4272,2923,江苏,中性及干性肤质,中国,1,1,0,0,0
凡茜,94,606,4770,上海,任何肤质,中国,1,1,1,1,0
凡士林,62.4,2364,11788,上海,任何肤质,中国,1,0,0,0,0
梵洁诗,299,222,2209,浙江,任何肤质,中国,1,0,0,0,0
梵洁诗,117.45,487,3105,浙江,任何肤质,中国,1,1,0,0,0
芳草集,39,96,169,河南,任何肤质,中国,1,1,1,0,0
芳丹薄罗,320.5,115,216,上海,任何肤质,中国,1,0,1,0,0
芙尔蔓,434,228,4888,安徽,任何肤质,中国,1,1,1,0,0
芙尔蔓,99,10205,11788,安徽,任何肤质,中国,1,0,1,1,0
馥佩,408.5,10,36,广东,任何肤质,中国,1,0,0,1,0
馥佩,137,17,70,山东,任何肤质,中国,1,1,0,0,0
馥佩,117,741,2254,山东,任何肤质,中国,1,1,1,1,0
馥佩,159,3506,54048,上海,任何肤质,中国,1,1,0,1,0
高姿,128,20,372,江苏,任何肤质,中国,1,1,0,1,0
高姿,362,81,537,山东,任何肤质,中国,1,0,0,0,0
高姿,360,492,2722,上海,任何肤质,中国,1,1,0,0,0
高姿,148,136,4797,上海,任何肤质,韩国,1,0,0,0,0
高姿,176.5,58,800,浙江,任何肤质,中国,1,1,0,0,0
歌莉莎,192,5418,94836,广东,任何肤质,中国,1,0,0,0,0
葛菲娜,223.3,42,1667,山东,任何肤质,中国,1,1,0,0,0
宫灯,129,1514,12658,江西,任何肤质,中国,1,0,0,0,0
宫灯,263,278,1102,江西,任何肤质,中国,1,0,1,0,0
海润,440,326,2500,海南,任何肤质,中国,1,0,0,1,1
韩婵,114,37,154,广东,任何肤质,中国,1,0,0,0,0
韩国圣雪兰,188.5,12159,40760,广东,任何肤质,中国,1,1,1,1,0
韩国新生活,160.5,1963,1129,湖南,任何肤质,中国,1,1,1,1,0
韩后,209,855,19445,安徽,任何肤质,中国,1,1,0,0,0
韩后,174,107,105,安徽,中性及干性肤质,中国,1,0,0,0,0
韩后,155,50,3666,安徽,任何肤质,中国,1,0,0,0,0
韩后,334,4423,33075,广东,任何肤质,中国,1,0,0,1,1
韩后,198,328,133,广东,任何肤质,中国,1,1,0,0,0
韩后,191,2883,28729,广东,任何肤质,中国,1,1,1,1,0
韩后,137.5,48,153,广东,任何肤质,中国,1,0,0,0,0
韩后,135,2519,15647,广东,任何肤质,中国,1,0,0,1,0
韩后,120,422,5662,广东,中性及干性肤质,中国,1,0,0,0,0
韩后,95.7,277,1900,广东,任何肤质,中国,1,1,1,1,0
韩后,12.9,3062,17282,广东,任何肤质,中国,1,0,1,0,0
韩后,224,251,880,河南,任何肤质,中国,1,0,0,0,0
韩后,205,724,2705,河南,任何肤质,中国,1,1,0,1,1
韩后,142,1068,7558,河南,任何肤质,中国,1,1,1,1,0
韩后,790,4,755,湖南,任何肤质,中国,1,1,0,1,1
韩后,378,152,491,湖南,任何肤质,中国,1,1,0,0,0
韩后,292,1077,6955,湖南,油性及混合性肤质,中国,1,0,1,0,0
韩后,282,735,5863,湖南,任何肤质,中国,1,1,0,1,1
韩后,219,4553,11915,湖南,任何肤质,中国,1,1,1,1,1
韩后,204,25,29,湖南,任何肤质,中国,1,1,1,0,0
韩后,179,78,380,湖南,任何肤质,中国,1,1,1,1,1
韩后,129,14,189,湖南,任何肤质,中国,1,1,1,0,0
韩后,108,39,4478,湖南,任何肤质,中国,1,0,0,0,0
韩后,94,3257,26117,湖南,任何肤质,中国,1,1,0,1,0
韩后,23.4,894,948,湖南,任何肤质,中国,1,1,1,1,1
韩后,369,1629,9299,江苏,任何肤质,中国,1,1,0,1,0
韩后,219,711,3933,江苏,任何肤质,中国,1,1,1,0,1
韩后,84.45,318,3760,江苏,任何肤质,中国,1,1,1,1,0
韩后,69.99,185,1640,江苏,任何肤质,中国,1,0,1,0,0
韩后,238.5,8,25,上海,任何肤质,中国,1,1,0,1,1
韩后,211.5,125,879,上海,任何肤质,中国,1,1,0,1,0
韩后,183,112,918,上海,中性及干性肤质,中国,1,1,0,0,0
韩后,179,38,1015,上海,任何肤质,中国,1,1,1,1,0
韩后,112,71,220,上海,任何肤质,中国,1,1,0,0,0
韩后,989,67,330,浙江,任何肤质,中国,1,1,0,0,0
韩后,154.9,7223,28408,浙江,任何肤质,中国,1,1,0,0,0
韩后,98,118,6229,浙江,任何肤质,中国,1,1,1,1,1
韩后,39.8,277,1201,浙江,任何肤质,中国,1,1,1,1,0
韩后,212,324,1246,浙江,中性肤质,中国,1,0,1,0,0
韩后,189,133,17584,浙江,任何肤质,中国,1,0,0,0,0
韩后,163.5,879,3191,浙江,任何肤质,中国,1,1,0,0,0
韩洛依,359,6,447,江苏,任何肤质,中国,1,1,1,1,0
韩束,344,4050,26009,安徽,任何肤质,中国,1,1,0,0,0
韩束,1060,278,1827,上海,任何肤质,韩国,0,1,0,0,0
韩束,232,1912,29574,上海,任何肤质,中国,1,1,1,1,1
韩束,199,798,7585,上海,任何肤质,中国,1,1,0,0,0
韩束,198,48,131,上海,任何肤质,中国,1,1,0,1,0
韩束,189,46,947,上海,任何肤质,中国,1,0,0,0,0
韩束,165.5,33,230,上海,任何肤质,中国,1,0,1,1,1
韩束,142.5,122,3458,上海,任何肤质,中国,0,0,0,1,0
韩束,125,31,321,上海,任何肤质,中国,1,1,1,0,0
韩束,113,125,1084,上海,任何肤质,中国,1,1,1,1,0
韩束,109,33,2629,上海,任何肤质,中国,1,0,0,0,0
韩束,109,12,14,上海,任何肤质,中国,1,1,1,0,0
韩束,99,1350,921,上海,中性及干性肤质,中国,1,1,0,1,1
韩束,27.9,358,2530,上海,任何肤质,中国,1,0,0,1,0
韩束,23.4,76,1220,上海,任何肤质,中国,1,0,1,1,0
韩束,113.5,68,2992,天津,任何肤质,中国,1,1,0,1,0
韩束,319,28,204,浙江,任何肤质,中国,1,1,0,0,0
韩束,119,4588,7718,浙江,任何肤质,中国,1,1,1,0,0
韩束,99,158,135,浙江,中性肤质,中国,1,1,0,0,0
韩束,51,6,9,浙江,任何肤质,中国,1,0,1,0,0
韩束,401,28,386,浙江,任何肤质,中国,1,1,0,1,0
韩束,219,75,46,浙江,任何肤质,中国,1,0,0,0,1
韩束,154,2054,2002,浙江,任何肤质,中国,1,1,0,1,0
韩束,104,269,2394,浙江,任何肤质,中国,1,0,0,1,0
韩伊,182,44,416,山东,任何肤质,中国,1,1,1,1,1
韩元素一代,224.65,912,4334,江苏,任何肤质,中国,1,1,1,1,1
汉芳翠叶,174,675,648,湖北,任何肤质,中国,1,1,0,0,0
花肌萃,248,378,7452,上海,任何肤质,中国,1,0,0,0,0
花肌萃,239.9,291,3978,上海,任何肤质,中国,1,1,0,1,0
花肌萃,39.8,69,1380,上海,任何肤质,中国,1,1,1,1,1
花印,299,2104,7817,北京,任何肤质,中国,1,1,1,1,0
花印,204,1347,477,北京,任何肤质,中国,1,1,0,0,0
活泉,330,103,177,广东,任何肤质,美国,1,0,0,0,0
活泉,312.5,6,38,河南,任何肤质,中国,1,1,1,1,0
活泉,298,4,97,上海,敏感性肤质,中国,1,1,0,1,0
活泉,169,1749,4839,上海,任何肤质,中国,1,1,0,0,0
活泉,129.9,67,372,上海,中性及干性肤质,中国,1,1,0,1,1
活泉,109,56,240,上海,任何肤质,中国,1,0,1,0,0
肌情,218.5,294,3278,广东,任何肤质,中国,1,0,0,0,1
肌养晶,328,457,2110,上海,任何肤质,中国,1,0,0,0,0
加西妮,79,26,160,广东,任何肤质,中国,1,1,0,0,0
嘉美乐,109,1237,5390,河南,任何肤质,中国,1,1,0,0,1
嘉年华,218.5,685,7092,山东,任何肤质,中国,1,1,1,0,0
嘉年华,169,3610,13750,山东,任何肤质,中国,1,1,0,0,0
嘉年华,234,196,3663,上海,任何肤质,中国,1,1,1,1,0
嘉年华,166.5,8,4281,上海,任何肤质,中国,1,0,0,0,0
嘉年华,78,31,104,上海,任何肤质,中国,1,1,1,1,1
金雨轩,139,41,300,福建,任何肤质,中国,1,1,0,0,0
金雨轩,99,36,1287,福建,任何肤质,中国,1,1,1,1,0
金至尊,145,22,380,广东,中性及干性肤质,中国,1,1,0,1,0
金装靓邦素,99.9,10,195,广东,任何肤质,中国,1,1,0,0,0
瑾泉,298.5,22,11,安徽,任何肤质,中国,1,1,0,0,0
瑾泉,873,10,209,云南,任何肤质,中国,0,1,0,0,1
瑾泉,360.5,2980,8007,云南,任何肤质,中国,1,1,1,0,1
瑾泉,148,21,528,云南,油性及混合性肤质,中国,1,0,1,0,0
瑾泉,89,206,1311,云南,任何肤质,中国,0,0,1,0,0
瑾泉,78,2123,21054,云南,任何肤质,中国,1,1,1,1,0
瑾泉,297.5,7,318,浙江,任何肤质,中国,1,0,0,0,0
瑾泉,459,262,1312,浙江,任何肤质,中国,1,1,0,0,0
京润,337,175,1686,安徽,任何肤质,日本,1,0,0,0,0
京润,273,1020,6989,安徽,任何肤质,中国,1,0,1,0,0
