date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020/2/14,77.8,78.06,77.72,76.62,80649.51,0.22,0.28,76.766,75.139,82.59,147003.27,187780.09,155194.78,0.55
2020/2/13,77.08,79.8,77.5,76.9,129124.09,0.01,0.01,76.174,75.632,83.079,166216.49,198501.39,160000.49,0.88
2020/2/12,77.4,78.26,77.49,76.13,136895.45,0.09,0.12,75.452,76.633,83.446,177145.53,194208.46,157151.39,0.94
2020/2/11,73.99,78,77.4,73.75,216260.58,3.68,4.99,74.434,77.61,83.872,211143.79,196191.79,154898.76,1.48
2020/2/10,74,74.5,73.72,72.52,172086.73,-1.04,-1.39,73.378,78.929,84.283,254092.65,185422.53,148445.75,1.18
2020/2/7,73.51,74.89,74.76,72.25,176715.59,0.87,1.18,73.512,80.737,84.886,228556.91,173571.02,146074.29,1.21
2020/2/6,72.37,74.32,73.89,71.81,183769.31,1.49,2.06,75.09,82.526,85.421,230786.28,160894.28,145605.57,1.26
2020/2/5,72.02,74,72.4,71.07,306886.75,0.28,0.39,77.814,84.371,86.06,211271.38,151424.47,143719.06,2.1
2020/2/4,71,76.28,72.12,69.88,431004.88,-2.27,-3.05,80.786,86.338,86.727,181239.79,129709.02,140463.79,2.95
2020/2/3,74.39,74.39,74.39,74.39,44408,-8.26,-9.99,84.48,88.429,87.206,116752.4,105584.56,124480.93,0.3
2020/1/23,87.37,87.37,82.65,81.58,187862.48,-4.86,-5.55,87.962,90.04,87.523,118585.13,122609.47,125669.76,1.29
2020/1/22,85.89,88.07,87.51,85.61,86194.8,0.25,0.29,89.962,90.525,87.434,91002.28,121499.59,120552.92,0.59
2020/1/21,90,90,87.26,86.57,156728.77,-3.33,-3.68,90.928,90.259,87.161,91577.56,120094.32,118226.47,1.07
2020/1/20,91.8,92.3,90.59,90,108567.96,-1.21,-1.32,91.89,90.133,86.878,78178.25,113605.73,113544.8,0.74
2020/1/17,93,93.6,91.8,91.33,53571.66,-0.85,-0.92,92.378,89.636,86.456,94416.72,111468.97,110643.45,0.37
2020/1/16,92.2,93.11,92.65,91.8,49948.19,0.31,0.34,92.118,89.035,85.966,126633.81,118577.57,110854.23,0.34
2020/1/15,92.1,94.25,92.34,92,89071.22,0.27,0.29,91.088,88.315,85.459,151996.9,130316.86,112094.11,0.61
2020/1/14,92.4,93.43,92.07,91.5,89732.23,-0.96,-1.03,89.59,87.749,84.994,148611.08,136013.65,112931.44,0.61
2020/1/13,90.5,94.58,93.03,90.4,189760.28,2.53,2.8,88.376,87.115,84.47,149033.21,151218.56,112190.02,1.3
2020/1/10,87.46,91.44,90.5,87.3,214657.12,3,3.43,86.894,85.983,83.919,128521.22,143377.3,107603.82,1.47
2020/1/9,85.4,88.58,87.5,84.6,176763.64,2.65,3.12,85.952,85.006,83.418,110521.33,128730.05,99799.47,1.21
2020/1/8,85.31,85.88,84.85,84.56,72142.11,-1.15,-1.34,85.542,84.342,83.088,108636.82,119606.26,93935.74,0.49
2020/1/7,84.93,86.45,86,84.7,91842.92,0.38,0.44,85.908,84.062,82.942,123416.22,116358.63,93933.94,0.63
2020/1/6,85.01,86.5,85.62,84.59,87200.29,-0.17,-0.2,85.854,83.623,82.76,153403.9,113483.87,92366.03,0.6
2020/1/3,86,87.28,85.79,85.19,124657.68,0.34,0.4,85.072,83.276,82.608,158233.39,109817.94,92848.25,0.85
2020/1/2,86,86.6,85.45,83.68,167341.11,-1.23,-1.42,84.06,82.897,82.393,146938.76,103130.9,89959.65,1.15
2019/12/31,86.26,87.36,86.68,85.9,146039.12,0.95,1.11,83.142,82.602,82.207,130575.69,93871.36,85635.42,1
2019/12/30,81.88,86.5,85.73,81.76,241781.31,4.02,4.92,82.216,82.238,81.891,109301.03,89849.22,83368.91,1.66
2019/12/27,81.04,82.47,81.71,81.04,111347.73,0.98,1.21,81.392,81.825,81.691,73563.83,73161.48,75075.95,0.76
2019/12/26,80.9,81.23,80.73,80.17,68184.54,-0.13,-0.16,81.48,81.854,81.693,61402.5,71830.33,76793.91,0.47
2019/12/25,82.28,82.29,80.86,80.4,85525.75,-1.19,-1.45,81.734,81.83,81.882,59323.03,70868.9,77107.04,0.59
2019/12/24,81.66,82.39,82.05,81.66,39665.81,0.44,0.54,82.062,81.833,82.13,57167.03,68265.22,76581.92,0.27
2019/12/23,80.5,82.45,81.61,80.5,63095.31,-0.54,-0.66,82.26,81.821,82.293,70397.42,71509.26,79239.43,0.43
2019/12/20,81.72,82.5,82.15,81.72,50541.07,0.15,0.18,82.258,81.896,82.43,72759.14,71248.19,80959.27,0.35
2019/12/19,82.59,82.6,82,81.3,57787.22,-0.5,-0.61,82.228,81.94,82.532,82258.17,75878.55,85487.58,0.4
2019/12/18,83.01,83.5,82.5,82.28,74745.73,-0.54,-0.65,81.926,81.889,82.806,82414.76,76788.4,86457.81,0.51
2019/12/17,81.72,83.5,83.04,81.5,105817.77,1.44,1.76,81.604,81.811,83.031,79363.4,77399.49,89534.21,0.72
2019/12/16,82.4,82.6,81.6,81.04,74903.91,-0.4,-0.49,81.382,81.543,83.155,72621.1,76888.6,87419.45,0.51
2019/12/13,80.89,82.49,82,80.89,98036.22,1.51,1.88,81.534,81.557,83.328,69737.24,76990.42,87244.13,0.67
2019/12/12,81.21,81.4,80.49,80.19,58570.17,-0.4,-0.49,81.652,81.532,83.489,69498.93,81757.49,85996.28,0.4
2019/12/11,81.93,81.95,80.89,80.72,59488.95,-1.04,-1.27,81.852,81.933,83.787,71162.03,83345.18,88083.83,0.41
2019/12/10,82.02,82.4,81.93,81.26,72106.23,-0.43,-0.52,82.018,82.427,84.065,75435.57,84898.62,89342.41,0.49
2019/12/9,83,83.28,82.36,82.18,60484.61,-0.23,-0.28,81.704,82.764,84.23,81156.1,86969.61,88598.09,0.41
2019/12/6,81.4,82.87,82.59,81.1,96844.67,1.1,1.35,81.58,82.963,84.362,84243.6,90670.35,88807.03,0.66
2019/12/5,81.7,81.99,81.49,80.96,66885.69,-0.23,-0.28,81.412,83.124,84.514,94016.04,95096.62,88662.43,0.46
2019/12/4,81.61,82.11,81.72,80.57,80856.65,1.36,1.69,82.014,83.723,84.685,95528.34,96127.22,88718.72,0.55
2019/12/3,81.58,81.58,80.36,80,100708.9,-1.38,-1.69,82.836,84.251,84.842,94361.67,101668.94,89957.58,0.69
2019/12/2,81.65,82.59,81.74,81.08,75922.1,-0.01,-0.01,83.824,84.767,85.161,92783.12,97950.3,89794.6,0.52
2019/11/29,84.11,84.2,81.75,81.18,145706.88,-2.75,-3.25,84.346,85.099,85.444,97097.09,97497.84,92671.2,1
2019/11/28,86.19,86.36,84.5,84.09,74447.15,-1.33,-1.55,84.836,85.445,85.767,96177.19,90235.07,91325.5,0.51
2019/11/27,85.2,86.58,85.83,84.84,75023.34,0.53,0.62,85.432,85.641,85.902,96726.1,92822.47,94672.91,0.51
2019/11/26,84.45,85.56,85.3,84.11,92816.11,0.95,1.13,85.666,85.703,85.9,108976.2,93786.2,94133.12,0.64
2019/11/25,83,84.69,84.35,81.61,97491.99,0.15,0.18,85.71,85.696,85.927,103117.49,90226.57,95186.16,0.67
2019/11/22,87.9,87.95,84.2,83.5,141107.38,-3.28,-3.75,85.852,85.761,85.953,97898.58,86943.71,94972.7,0.97
2019/11/21,87.17,88.48,87.48,86.3,77191.67,0.48,0.55,86.054,85.903,85.893,84292.95,82228.24,91696.24,0.53
2019/11/20,85.27,88.56,87,85.16,136273.84,1.48,1.73,85.85,85.646,85.607,88918.84,81310.21,93130.88,0.93
2019/11/19,84.7,86.11,85.52,84.7,63522.56,0.46,0.54,85.74,85.432,85.457,78596.2,78246.22,89229.75,0.44
2019/11/18,84.73,85.29,85.06,83.71,71397.43,-0.15,-0.18,85.682,85.555,85.436,77335.64,81638.89,89916.31,0.49
2019/11/15,86.46,86.66,85.21,85,73079.27,-1.25,-1.45,85.67,85.789,85.361,75988.83,87844.57,90799.19,0.5
2019/11/14,86.42,87.5,86.46,85.82,100321.1,0.01,0.01,85.752,86.088,85.326,80163.52,92415.93,91215.65,0.69
2019/11/13,85.6,86.5,86.45,84.8,84660.65,1.22,1.43,85.442,86.162,85.309,73701.59,96523.35,88959.74,0.58
2019/11/12,85,85.39,85.23,84.15,57219.77,0.23,0.27,85.124,86.097,85.277,77896.25,94480.05,91946.51,0.39
2019/11/11,85,85.6,85,84.13,64663.38,-0.62,-0.72,85.428,86.157,85.432,85942.14,100145.75,94656.27,0.44
2019/11/8,85.5,86.72,85.62,85.03,93952.69,0.71,0.84,85.908,86.145,85.565,99700.31,103001.69,95508.38,0.64
2019/11/7,84.86,85.47,84.91,84.29,68011.44,0.05,0.06,86.424,85.883,85.668,104668.34,101164.24,95501.91,0.47
2019/11/6,87.09,87.18,84.86,84.72,105633.95,-1.89,-2.18,86.882,85.567,85.756,119345.12,104951.54,97790.35,0.72
2019/11/5,87.52,87.78,86.75,86.17,97449.26,-0.65,-0.74,87.07,85.481,85.887,111063.85,100213.28,96326.14,0.67
2019/11/4,88.52,89.1,87.4,87.1,133454.19,-0.8,-0.91,86.886,85.316,85.962,114349.36,98193.72,97610.77,0.91
2019/11/1,87.8,88.52,88.2,86.51,118792.88,1,1.15,86.382,84.933,85.853,106303.07,93753.81,95618.98,0.81
2019/10/31,88.99,89.31,87.2,86.77,141395.3,1.4,1.63,85.342,84.563,85.804,97660.14,90015.37,95227.1,0.97
2019/10/30,86.01,86.18,85.8,84.9,64227.6,-0.03,-0.04,84.252,84.455,85.831,90557.97,81396.12,92413.27,0.44
2019/10/29,85.6,86.46,85.83,84.62,113876.81,0.95,1.12,83.892,84.457,85.942,89362.71,89412.97,93098.41,0.78
2019/10/28,82.99,85.44,84.88,82.91,93222.78,1.88,2.27,83.746,84.707,86.075,82038.08,89166.79,94067.51,0.64
2019/10/25,81.75,83.15,83,81.23,75578.21,1.25,1.53,83.484,84.985,86.214,81204.54,88015.06,93640.41,0.52
2019/10/24,84.11,84.4,81.75,81.35,105884.43,-2.25,-2.68,83.784,85.452,86.514,82370.6,89839.57,97115.79,0.73
2019/10/23,85.11,86.12,84,83.68,58251.32,-1.1,-1.29,84.658,85.945,86.861,72234.27,90629.17,99047.26,0.4
2019/10/22,83.99,85.16,85.1,83.28,77253.68,1.53,1.83,85.022,86.293,87.171,89463.24,92439.01,105531.91,0.53
2019/10/21,84.43,85.18,83.57,83.01,89055.05,-0.93,-1.1,85.668,86.608,87.307,96295.49,97027.81,108202.93,0.61
2019/10/18,85.49,85.79,84.5,84.23,81408.54,-1.62,-1.88,86.486,86.773,87.468,94825.58,97484.15,112345.04,0.56
2019/10/17,86.18,86.4,86.12,85.38,55202.78,0.3,0.35,87.12,87.045,87.688,97308.53,100438.83,115879.35,0.38
2019/10/16,87,87.4,85.82,85.51,144396.14,-2.51,-2.84,87.232,87.207,87.757,109024.06,103430.42,125684.06,0.99
2019/10/15,87.63,89.2,88.33,86.28,111414.94,0.67,0.76,87.564,87.426,88.101,95414.77,96783.84,123010.83,0.76
2019/10/14,88.51,88.88,87.66,87.3,81705.52,-0.01,-0.01,87.548,87.443,88.347,97760.14,98968.24,123514.03,0.56
2019/10/11,86.98,88.5,87.67,86,93823.28,0.99,1.14,87.06,87.442,88.666,100142.71,99265.76,124656.69,0.64
2019/10/10,86.5,86.9,86.68,84.05,113780.43,-0.8,-0.91,86.97,87.575,89.007,103569.13,104392.01,125902.28,0.78
2019/10/9,88,88.3,87.48,86.7,76349.69,-0.77,-0.87,87.182,87.777,89.386,97836.77,107465.35,127138.71,0.52
2019/10/8,85.99,89.12,88.25,85.97,123141.76,3.03,3.56,87.288,88.049,89.82,98152.91,118624.81,130020.93,0.84
2019/9/30,87.03,87.61,85.22,85.06,93618.39,-2,-2.29,87.338,88.006,90.311,100176.34,119378.04,131712.08,0.64
2019/9/27,87.21,88,87.22,84.01,110955.37,-0.52,-0.59,87.824,88.163,90.894,98388.82,127205.94,135545.64,0.76
2019/9/26,89.02,89.69,87.74,87.02,85118.63,-0.27,-0.31,88.18,88.33,91.147,105214.89,131319.87,138497.51,0.58
2019/9/25,88.25,89.3,88.01,87.4,77930.42,-0.49,-0.55,88.372,88.307,91.202,117093.92,147937.7,138992.67,0.53
2019/9/24,87.2,89.44,88.5,87.2,133258.88,0.85,0.97,88.81,88.776,91.264,139096.7,149237.83,140657.08,0.91
2019/9/23,88.92,88.95,87.65,87.01,84680.78,-1.35,-1.52,88.674,89.251,91.183,138579.75,148059.82,138545.33,0.58
2019/9/20,88.99,90.09,89,87.75,145085.73,0.3,0.34,88.502,89.889,91.235,156023.05,150047.62,139467.14,0.99
2019/9/19,90.15,90.15,88.7,87.61,144513.8,-1.5,-1.66,88.48,90.439,91.168,157424.85,147412.55,138979.19,0.99
2019/9/18,87.95,90.55,90.2,87.95,187944.3,2.38,2.71,88.242,90.994,91.063,178781.48,146812.08,136711.81,1.29
2019/9/17,86.8,88.77,87.82,86.5,130674.13,1.03,1.19,88.742,91.59,90.868,159378.95,141417.06,131917.79,0.89
2019/9/16,88.58,88.58,86.79,86.4,171897.31,-2.1,-2.36,89.828,92.615,90.787,157539.9,144046.13,131039,1.18
